id,name,party,partyLabel,votes,election,electionLabel,ranking
Q694929,Paul Maskey,Q76382,Sinn Féin,20866,Q30173038,General election 2019,1
Q20979152,Gerry Carroll,Q3545406,People Before Profit,6194,Q30173038,General election 2019,2
Q5488270,Frank McCoubrey,Q215519,Democratic Unionist Party,5220,Q30173038,General election 2019,3
,Paul Doherty,Q175443,Social Democratic and Labour Party,2985,Q30173038,General election 2019,4
,Donnamarie Higgins,Q244927,Alliance Party of Northern Ireland,1882,Q30173038,General election 2019,5
,Monica Digney,Q61090509,Aontú,1635,Q30173038,General election 2019,6
Q694929,Paul Maskey,Q76382,Sinn Féin,27107,Q25052149,General election 2017,1
Q5488270,Frank McCoubrey,Q215519,Democratic Unionist Party,5455,Q25052149,General election 2017,2
Q20979152,Gerry Carroll,Q3545406,People Before Profit Alliance,4132,Q25052149,General election 2017,3
,Tim Attwood,Q175443,Social Democratic and Labour Party,2860,Q25052149,General election 2017,4
,Sorcha Eastwood,Q244927,Alliance Party of Northern Ireland,731,Q25052149,General election 2017,5
,Conor Campbell,Q1860218,Workers' Party of Ireland,348,Q25052149,General election 2017,6
Q694929,Paul Maskey,Q76382,Sinn Féin,19163,Q3586935,General election 2015,1
Q20979152,Gerry Carroll,Q3545406,People Before Profit Alliance,6798,Q3586935,General election 2015,2
Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,3475,Q3586935,General election 2015,3
Q5488270,Frank McCoubrey,Q215519,Democratic Unionist Party,2773,Q3586935,General election 2015,4
,Bill Manwaring,Q841045,Ulster Unionist Party,1088,Q3586935,General election 2015,5
,Brian Higginson,Q10647,UK Independence Party,765,Q3586935,General election 2015,6
,Gerard Catney,Q244927,Alliance Party of Northern Ireland,636,Q3586935,General election 2015,7
Q6245437,John Lowry,Q1860218,Workers' Party of Ireland,597,Q3586935,General election 2015,8
,Paul Shea,Q7058484,Northern Ireland Conservatives,34,Q3586935,General election 2015,9
Q694929,Paul Maskey,Q76382,Sinn Féin,16211,Q4882356,2011 Belfast West by-election,1
Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,3088,Q4882356,2011 Belfast West by-election,2
Q20979152,Gerry Carroll,Q3545406,People Before Profit Alliance,1751,Q4882356,2011 Belfast West by-election,3
,Brian Kingston,Q215519,Democratic Unionist Party,1393,Q4882356,2011 Belfast West by-election,4
,Bill Manwaring,Q841045,Ulster Unionist Party,386,Q4882356,2011 Belfast West by-election,5
,Aaron McIntyre,Q244927,Alliance Party of Northern Ireland,122,Q4882356,2011 Belfast West by-election,6
Q76139,Gerry Adams,Q76382,Sinn Féin,22840,Q215622,General election 2010,1
Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,5261,Q215622,General election 2010,2
Q8012668,William Humphrey,Q215519,Democratic Unionist Party,2436,Q215622,General election 2010,3
,Bill Manwaring,Q7879942,Ulster Conservatives and Unionists,1000,Q215622,General election 2010,4
Q65583812,Máire Hendron,Q244927,Alliance Party of Northern Ireland,596,Q215622,General election 2010,5
Q76139,Gerry Adams,Q76382,Sinn Féin,24348,Q428598,General election 2005,1
Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,5033,Q428598,General election 2005,2
Q116719,Diane Dodds,Q215519,Democratic Unionist Party,3652,Q428598,General election 2005,3
,Chris McGimpsey,Q841045,Ulster Unionist Party,779,Q428598,General election 2005,4
Q6245437,John Lowry,Q1860218,Workers' Party of Ireland,432,Q428598,General election 2005,5
,Lynda Gilby,Q6739060,Vote For Yourself Rainbow Dream Ticket,154,Q428598,General election 2005,6
Q28421957,Liam Kennedy,Q327591,Independent (politician),147,Q428598,General election 2005,7
Q76139,Gerry Adams,Q76382,Sinn Féin,27096,Q590740,General election 2001,1
Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,7754,Q590740,General election 2001,2
Q5387546,Eric Smyth,Q215519,Democratic Unionist Party,2641,Q590740,General election 2001,3
,Chris McGimpsey,Q841045,Ulster Unionist Party,2541,Q590740,General election 2001,4
Q6245437,John Lowry,Q1860218,Workers' Party of Ireland,736,Q590740,General election 2001,5
Q5235962,David Kerr,Q7785007,Third Way (UK organisation),116,Q590740,General election 2001,6
Q7284637,Rainbow George Weiss,Q6739060,Vote For Yourself Rainbow Dream Ticket,98,Q590740,General election 2001,7
Q76139,Gerry Adams,Q76382,Sinn Féin,25662,Q918503,General election 1997,1
Q6210280,Joe Hendron,Q175443,Social Democratic and Labour Party,17753,Q918503,General election 1997,2
,Frederick Parkinson,Q841045,Ulster Unionist Party,1556,Q918503,General election 1997,3
Q6245437,John Lowry,Q1860218,Workers' Party of Ireland,721,Q918503,General election 1997,4
,Liam Kennedy,,,102,Q918503,General election 1997,5
,Mary Daly,Q491782,Natural Law Party,91,Q918503,General election 1997,6
Q6210280,Joe Hendron,Q175443,Social Democratic and Labour Party,17415,Q543609,General election 1992,1
Q76139,Gerry Adams,Q76382,Sinn Féin,16826,Q543609,General election 1992,2
Q5494852,Fred Cobain,Q841045,Ulster Unionist Party,4766,Q543609,General election 1992,3
Q6245437,John Lowry,Q1860218,Workers' Party of Ireland,750,Q543609,General election 1992,4
,Michael Francis Kennedy,Q491782,Natural Law Party,213,Q543609,General election 1992,5
Q76139,Gerry Adams,Q76382,Sinn Féin,16862,Q918472,General election 1987,1
Q6210280,Joe Hendron,Q175443,Social Democratic and Labour Party,14641,Q918472,General election 1987,2
Q5488439,Frank Millar,Q841045,Ulster Unionist Party,7646,Q918472,General election 1987,3
,Mary McMahon,Q1860218,Workers' Party of Ireland,1819,Q918472,General election 1987,4
Q76139,Gerry Adams,Q76382,Sinn Féin,16379,Q918466,General election 1983,1
Q6210280,Joe Hendron,Q175443,Social Democratic and Labour Party,10934,Q918466,General election 1983,2
Q333646,Gerry Fitt,,,10326,Q918466,General election 1983,3
Q7793034,Thomas Passmore,Q841045,Ulster Unionist Party,2435,Q918466,General election 1983,4
,George Albert Haffey,Q215519,Democratic Unionist Party,2399,Q918466,General election 1983,5
,Mary McMahon,Q1860218,Workers' Party of Ireland,1893,Q918466,General election 1983,6
Q333646,Gerry Fitt,Q175443,Social Democratic and Labour Party,16480,Q918450,General election 1979,1
Q7793034,Thomas Passmore,Q841045,Ulster Unionist Party,8245,Q918450,General election 1979,2
Q16466462,Billy Dickson,Q215519,Democratic Unionist Party,3716,Q918450,General election 1979,3
,Brian Brennan,Q1860218,Republican Clubs,2284,Q918450,General election 1979,4
,John Cousins,Q244927,Alliance Party of Northern Ireland,2024,Q918450,General election 1979,5
,Derek O'Brien Peters,Q7058511,Northern Ireland Labour Party,540,Q918450,General election 1979,6
Q333646,Gerry Fitt,Q175443,Social Democratic and Labour Party,21821,Q918508,General election October 1974,1
Q6248269,John McQuade,Q215519,Democratic Unionist Party,16265,Q918508,General election October 1974,2
,Kitty O'Kane,Q1860218,Republican Clubs,3547,Q918508,General election October 1974,3
Q6387668,Ken Gibson,Q7941044,Volunteer Political Party,2690,Q918508,General election October 1974,4
,Peter Donal Patrick Kerins,Q5154406,Communist Party of Ireland (Marxist-Leninist),203,Q918508,General election October 1974,5
Q333646,Gerry Fitt,Q175443,Social Democratic and Labour Party,19554,Q119524,General election February 1974,1
Q6248269,John McQuade,Q215519,Democratic Unionist Party,17374,Q119524,General election February 1974,2
,Albert Price,Q16847164,Independent Republican (Ireland),5662,Q119524,General election February 1974,3
,John Brady,Q1860218,Republican Clubs,3088,Q119524,General election February 1974,4
Q4912256,Billy Boyd,Q7058511,Northern Ireland Labour Party,1989,Q119524,General election February 1974,5
Q333646,Gerry Fitt,Q7314601,Republican Labour Party,30649,Q918442,General election 1970,1
Q17402469,Brian McRoberts,Q841045,Ulster Unionist Party,27451,Q918442,General election 1970,2
Q333646,Gerry Fitt,Q7314601,Republican Labour Party,26292,Q918430,General election 1966,1
Q6137309,James Kilfedder,Q841045,Ulster Unionist Party,24281,Q918430,General election 1966,2
Q6137309,James Kilfedder,Q841045,Ulster Unionist Party,21337,Q220208,General election 1964,1
Q5668408,Harry Diamond,Q7314601,Republican Labour Party,14678,Q220208,General election 1964,2
Q4912256,Billy Boyd,Q7058511,Northern Ireland Labour Party,12579,Q220208,General election 1964,3
Q4913017,Billy McMillen,Q16847164,Independent Republican (Ireland),3256,Q220208,General election 1964,4
Q15968114,Patricia McLaughlin,Q841045,Ulster Unionist Party,28898,Q918420,General election 1959,1
Q1649597,John Joseph Brennan,Q6016701,Independent Labour Group,20062,Q918420,General election 1959,2
,Thomas Heenan,Q76382,Sinn Féin,4416,Q918420,General election 1959,3
Q15968114,Patricia McLaughlin,Q841045,Ulster Unionist Party,34191,Q918412,General election 1955,1
Q15999413,Jack Beattie,Q503614,Irish Labour Party,20062,Q918412,General election 1955,2
Q5325542,Eamonn Boyce,Q76382,Sinn Féin,8447,Q918412,General election 1955,3
Q15999413,Jack Beattie,Q503614,Irish Labour Party,33174,Q3722280,General election 1951,1
Q7791815,Thomas Teevan,Q841045,Ulster Unionist Party,33149,Q3722280,General election 1951,2
Q7791815,Thomas Teevan,Q841045,Ulster Unionist Party,31796,Q4882355,1950 Belfast West by-election,1
Q15999413,Jack Beattie,Q503614,Irish Labour Party,30833,Q4882355,1950 Belfast West by-election,2
Q15039959,James Godfrey MacManaway,Q841045,Ulster Unionist Party,33917,Q748667,General election 1950,1
Q15999413,Jack Beattie,Q503614,Irish Labour Party,30539,Q748667,General election 1950,2
Q6201352,Jimmy Steele,Q76382,Sinn Féin,1482,Q748667,General election 1950,3
Q15999413,Jack Beattie,Q327591,Independent Labour,30787,Q918397,General election 1945,1
Q13529889,Knox Cunningham,Q841045,Ulster Unionist Party,26729,Q918397,General election 1945,2
Q15999413,Jack Beattie,Q7058511,Northern Ireland Labour Party,19936,Q4882353,"Belfast West by-election, 1943",1
Q13529889,Knox Cunningham,Q841045,Ulster Unionist Party,14426,Q4882353,"Belfast West by-election, 1943",2
Q8015347,William McConnell Wilton,Q6017342,Independent Unionist Association,7551,Q4882353,"Belfast West by-election, 1943",3
Q23688772,Hugh Corvin,Q16847164,Independent Republican (Ireland),1250,Q4882353,"Belfast West by-election, 1943",4
Q4718441,Alexander Browne,Q841045,Ulster Unionist Party,34060,Q918378,General election 1935,1
,Charles Leddy,Q16847164,Independent Republican (Ireland),20313,Q918378,General election 1935,2
Q4718441,Alexander Browne,Q841045,Ulster Unionist Party,31113,Q918375,General election 1931,1
Q7791393,Thomas Joseph Campbell,Q6979788,Nationalist Party (Northern Ireland),22006,Q918375,General election 1931,2
Q15491084,William Edward David Allen,Q841045,Ulster Unionist Party,33274,Q517639,General election 1929,1
Q5488093,Frank C.J. MacDermot,Q6979788,Nationalist Party (Northern Ireland),24177,Q517639,General election 1929,2
Q7347072,Robert John Lynn,Q841045,Ulster Unionist Party,28435,Q2632991,General election 1924,1
Q5671084,Harry Midgley,Q7058511,Northern Ireland Labour Party,21122,Q2632991,General election 1924,2
,Patrick Nash,Q76382,Sinn Féin,2688,Q2632991,General election 1924,3
Q7347072,Robert John Lynn,Q841045,Ulster Unionist Party,24975,Q3084294,General election 1923,1
Q5671084,Harry Midgley,Q4882296,Belfast Labour Party,22255,Q3084294,General election 1923,2
Q6282618,Joseph Devlin,Q1311653,Irish Parliamentary Party,4543,Q3076583,General election December 1910,1
,John Boyd Carpenter,Q6071313,Irish Unionist Alliance,4080,Q3076583,General election December 1910,2
Q6282618,Joseph Devlin,Q1311653,Irish Parliamentary Party,4651,Q3075752,General election January 1910,1
,John Boyd Carpenter,Q6071313,Irish Unionist Alliance,4064,Q3075752,General election January 1910,2
,Patrick J. Magee,Q6016860,Independent Nationalist,75,Q3075752,General election January 1910,3
Q6282618,Joseph Devlin,Q1311653,Irish Parliamentary Party,4138,Q3076606,General election 1906,1
,J. R. Smiley,Q1754707,Liberal Unionist Party,4122,Q3076606,General election 1906,2
Q1361511,Alexander Carlisle,,,153,Q3076606,General election 1906,3
Q3142302,H. O. Arnold-Forster,Q1754707,Liberal Unionist Party,4266,Q7888018,General election 1892,1
Q2427260,Thomas Sexton,Q15980738,Irish National Federation,3427,Q7888018,General election 1892,2
Q2427260,Thomas Sexton,Q1311653,Irish Parliamentary Party,3832,Q7888016,General election 1886,1
Q6136249,James Horner Haslett,Q6071313,Irish Unionist Alliance,3729,Q7888016,General election 1886,2
Q6136249,James Horner Haslett,Q6070653,Irish Conservative Party,3780,Q3397257,General election 1885,1
Q2427260,Thomas Sexton,Q1311653,Irish Parliamentary Party,3743,Q3397257,General election 1885,2
